gvkey,datadate,tic,conm,act,at,csho,ebit,lct,lt,re,sale,prcc_c,gsector,mve
1121,12/31/22,AE,ADAMS RESOURCES & ENERGY INC,250.143,384.159,2.495,6.271,231.06,290.982,72.964,3366.917,38.92,10,97.105
1380,12/31/22,HES,HESS CORP,3931,21695,306.177,3793,2396,13199,1343,11324,141.82,10,43422.022
1661,12/31/22,NBR,NABORS INDUSTRIES LTD,1000.623,4729.854,9.415,29.16,596.39,3514.459,-1852.191,2653.766,154.87,10,1458.101
1678,12/31/22,APA,APA CORP,2708,13147,311.559,4968,2916,11802,-5800,10961,46.68,10,14543.574
1864,1/31/22,REX,REX AMERICAN RESOURCES CORP,345.167,550.361,5.92,69.084,50.483,62.799,642.35,774.802,96,10,568.32
2052,9/30/22,BRN,BARNWELL INDUSTRIES,20.097,37.215,9.957,3.675,8.927,18.054,9.014,28.527,2.9564,10,29.437
2270,12/31/22,VAL,VALARIS LTD,1346.2,2860.3,75.2,47.2,504.4,1562.4,191.2,1602.5,67.62,10,5085.024
2410,12/31/22,BP,BP PLC,107688,288120,2995.685,40801,99018,205130,34013,241392,34.93,10,104639.277
2991,12/31/22,CVX,CHEVRON CORP,50343,257709,1915.217,39950,34208,97467,187226,235717,179.49,10,343762.299
3806,12/31/22,DWSN,DAWSON GEOPHYSICAL CO,38.035,60.541,23.812,-21.138,15.758,19.432,-114.542,37.48,1.96,10,46.672
4367,12/31/22,WFRD,WEATHERFORD INTL PLC,3043,4720,71,443,1470,4169,-2393,4331,50.92,10,3615.32
4430,12/31/22,EQT,EQT CORP,4014.441,22669.926,365.363,2989.523,3732.22,11456.598,1280.584,7497.689,33.83,10,12360.23
4497,12/31/22,BOOM,DMC GLOBAL INC,286.872,878.978,19.535,32.677,128.05,310.809,96.457,654.086,19.44,10,379.76
4503,12/31/22,XOM,EXXON MOBIL CORP,97631,369067,4082,68628,69045,166594,419590,398675,110.3,10,450244.6
5439,12/31/22,HAL,HALLIBURTON CO,10952,23255,902,3073,5345,15278,10342,20297,39.35,10,35493.7
5581,9/30/22,HP,HELMERICH & PAYNE,1002.944,4355.531,105.294,-5.126,394.81,1590.059,2461.5,2042.563,49.57,10,5219.424
5667,12/31/22,DINO,HF SINCLAIR CORP,6748.319,18125.483,197.08,4108.834,3245.529,8107.911,4108.239,38204.839,51.89,10,10226.481
6310,12/31/22,KMI,KINDER MORGAN INC,3803,70078,2247.682,4026,6930,37964,-10953,19200,18.08,10,40638.091
6311,12/31/22,PNRG,PRIMEENERGY RESOURCES CORP,72.165,247.137,1.901,27.846,40.957,106.784,177.566,125.057,86.87,10,165.14
6788,12/31/22,RRC,RANGE RESOURCES CORP,539.587,6625.562,238.886,1720.426,1020.665,3749.556,-2461.934,4146.803,25.02,10,5976.928
7017,12/31/22,MRO,MARATHON OIL CORP,1671,19940,633,3359,2306,8543,10769,7426,27.07,10,17135.31
7309,3/31/22,MXC,MEXCO ENERGY CORP,2.734,13.285,2.149,2.882,0.264,1.061,3.328,6.588,9.38,10,20.158
7620,12/31/22,MUR,MURPHY OIL CORP,972.325,10308.952,155.468,1691.296,1257.834,5160.059,5520.812,3899.73,43.01,10,6686.679
7882,12/31/22,NR,NEWPARK RESOURCES,425.966,714.875,89.701,23.918,162.942,291.847,-64.697,815.594,4.15,10,372.259
7938,12/31/22,NC,NACCO INDUSTRIES  -CL A,260.407,568.072,7.349,-2.958,44.27,141.106,395.911,241.719,38,10,279.262
7959,10/31/22,NRT,NORTH EUROPEAN OIL RTY TR,7.193,7.193,9.191,17.086,6.801,6.801,0.392,17.8,12.69,10,116.634
8068,12/31/22,OXY,OCCIDENTAL PETROLEUM CORP,8886,72609,899.859,14936,7757,42524,16694,36634,62.99,10,56682.118
8079,12/31/22,OII,OCEANEERING INTERNATIONAL,1297.06,2031.683,100.26,110.863,568.414,1505.879,941.727,2066.084,17.49,10,1753.547
8092,3/31/22,VTOL,BRISTOW GROUP INC,579.885,1824.279,28.287,32.747,287.755,988.911,187.77,1185.204,31.67,10,895.849
8092,12/31/22,VTOL,BRISTOW GROUP INC,493.125,1812.001,28.009,35.071,285.59,1025.062,140.691,922.569,27.13,10,759.884
8151,12/31/22,OKE,ONEOK INC,2547.775,24379.094,447.158,2701.19,3051.627,17885.209,-57.86,22386.892,65.7,10,29378.281
8210,12/31/22,OSG,OVERSEAS SHIPHOLDING GROUP,108.346,1139.063,78.297,63.191,145.927,799.378,-229.613,466.8,2.89,10,226.278
8515,12/31/22,PHIG,PHI GRP INC,348.582,711.363,24.357,55.618,129.951,238.548,54.851,760.286,9.5,10,231.392
8549,12/31/22,COP,CONOCOPHILLIPS,18749,93829,1223.856,25252,12847,45826,47029,78494,118,10,144415.008
8901,12/31/22,RES,RPC INC,703.341,1129.013,216.609,282.057,178.603,271.278,836.074,1601.762,8.89,10,1925.654
9465,12/31/22,SLB,SCHLUMBERGER LTD,15003,43135,1420.188,4151,12018,25146,6864,28091,53.46,10,75923.25
9904,12/31/22,SWN,SOUTHWESTERN ENERGY CO,1664,12926,1099.931,7381,3481,8602,-2533,15002,5.85,10,6434.596
10221,12/31/22,SBOW,SILVERBOW RESOURCES INC,145.726,1716.362,22.31,465.775,195.839,924.783,222.768,753.42,28.28,10,630.927
10504,12/31/22,TPL,TEXAS PACIFIC LAND CORP,633.401,877.427,7.696,562.307,39.595,104.54,868.655,667.422,2344.23,10,18041.194
10565,12/31/22,TDW,TIDEWATER INC,377.908,1297.656,50.554,44.672,194.787,431.666,-691.073,647.684,36.85,10,1862.915
10877,12/31/22,UNTC,UNIT CORP,275.469,469.255,9.628,235.613,68.232,106.629,189.44,545.525,57.86,10,557.076
